Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,8998.7,9027.2,9051.8,9101.4,9088.7,9113,9135.4,9144.9,9128.8,9118.3,9152.8,9182.6
2006,9225.5,9253.6,9304.4,9327.3,9309.8,9317.6,9355.8,9374,9371.5,9399.7,9451.8,9478.1
2007,9517.3,9532.6,9535.6,9552,9572.3,9584.2,9593.4,9602.1,9620.4,9636.9,9658.2,9673
2008,9662,9658.8,9647.9,9632.4,9627.8,9622.2,9628.3,9604.9,9572.7,9547.2,9514.2,9484.2
2009,9462.3,9448.1,9419.4,9387.7,9425.9,9433.3,9431,9398,9367.6,9344,9333.5,9304.5
2010,9298.6,9294.2,9311.7,9322.8,9340.9,9352.7,9358.6,9379.8,9430.8,9452.2,9455.5,9479.3
2011,9482.1,9509.7,9550.8,9583.6,9599.5,9618.8,9626.9,9653.2,9690.6,9720.7,9767.5,9791.2
2012,9834,9865,9915.5,9924.1,9926.8,9926.7,9952.7,10002.7,10062.6,10070.1,10085.5,10143.7
2013,10184.5,10219.7,10237.7,10275.7,10316.6,10352.4,10400.5,10429.1,10443.1,10468.1,10498.6,10507.6
2014,10532,10543.7,10600.5,10638.2,10671.3,10697.5,10709.4,10732,10761.7,10788.6,10819.8,10854.8
2015,10874.1,10924.4,10930.1,10965.5,10999.8,11037.7,11084.5,11110.8,11156.6,11201.1,11237.4,11271.3
2016,11318.6,11337.1,11364.1,11379.8,11404.4,11430.1,11442.2,11479.8,11544.1,11539.8,11554.8,11577.3
2017,11597.1,11617.3,11644.6,11664.8,11691.3,11710.7,11770.8,11773.6,11745.8,11787,11804.1,11814.7
2018,11818.7,11835.6,11835.6,11831.2,11857.8,11887.5,11913.9,11908.6,11889.9,11902.5,11923.9,11964.3
2019,12011.6,11976.6,11990.5,12013.8,12019.7,12026.5,12034.3,12071.1,12116,12165.9,12192.8,12210.3
2020,12246.7,12308.1,11676.3,6333.4,7832.5,9310.9,9842.5,9947.8,10187.1,10386.8,10362,9996.9
2021,10013.7,10299.6,,,,,,,,,,
