Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2006,,,25.1,25.4,25.2,25.4,26.0,25.6,25.0,25.4,24.9,25.1
2007,24.5,24.7,24.9,25.3,25.1,25.4,25.8,25.6,25.2,24.8,24.6,24.9
2008,24.3,24.6,25.0,24.8,25.0,25.5,25.2,25.4,24.7,24.8,24.9,24.4
2009,24.1,25.0,24.9,24.5,24.7,24.8,24.9,25.4,24.4,24.4,24.7,24.3
2010,24.0,24.6,24.8,24.9,25.3,25.0,25.2,25.7,24.8,25.1,24.9,24.8
2011,24.6,25.0,25.1,25.1,25.5,25.3,25.5,25.6,25.1,25.7,25.1,25.2
2012,25.2,25.3,25.5,25.7,25.6,25.7,26.1,25.8,25.6,25.4,25.2,25.8
2013,24.9,25.4,25.6,25.4,25.6,26.0,25.6,25.8,25.5,25.2,25.2,25.3
2014,24.7,25.3,26.0,25.5,25.7,26.1,25.7,25.9,25.4,25.4,25.7,25.4
2015,25.0,25.8,25.9,25.6,25.8,25.8,25.8,26.3,25.5,25.5,25.7,25.4
2016,24.9,25.5,25.6,25.6,25.9,25.7,25.8,25.8,25.4,25.7,25.5,25.2
2017,25.1,25.2,25.5,25.9,25.7,25.9,26.2,25.9,25.3,25.9,25.5,25.5
2018,24.8,25.6,25.6,25.9,25.8,26.0,26.2,26.0,25.8,25.6,25.4,25.8
2019,25.0,25.4,25.7,25.5,25.6,26.1,25.7,25.7,25.6,25.4,25.4,25.5
2020,24.9,25.4,23.9,23.3,25.6,25.7,25.4,26.0,25.5,25.6,25.3,24.6
2021,24.8,,,,,,,,,,,
